Nº documento;Fe.contabilización;Hora de entrada
3000052142;10/11/2015;7:38:50
3200002997;18/03/2015;7:38:56
3200015068;18/12/2015;7:38:56
3200015068;18/12/2015;7:38:56
3200002997;18/03/2015;7:38:56
3200002997;18/03/2015;7:38:56
3200005281;12/05/2015;7:39:18
3200006475;27/05/2014;7:39:20
3200006475;27/05/2014;7:39:20
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200003524;30/03/2015;7:39:55
3200014814;15/12/2015;7:39:57
3200014814;15/12/2015;7:39:57
3200013484;18/11/2015;7:40:07
3200013484;18/11/2015;7:40:07
3200013484;18/11/2015;7:40:07
3200002998;18/03/2015;7:40:20
3200002998;18/03/2015;7:40:20
3200002998;18/03/2015;7:40:20
3200006580;28/05/2014;7:40:22
3200006580;28/05/2014;7:40:22
3200006580;28/05/2014;7:40:22
3200006476;27/05/2014;7:40:29
3200005282;12/05/2015;7:40:34
3200014924;16/12/2015;7:40:48
3000052531;12/11/2015;7:40:53
3000052531;12/11/2015;7:40:53
3200002999;18/03/2015;7:41:34
3200005283;12/05/2015;7:41:34
3200002999;18/03/2015;7:41:34
3200002999;18/03/2015;7:41:34
3200005283;12/05/2015;7:41:34
3200006477;27/05/2014;7:41:45
3200006477;27/05/2014;7:41:45
3200011357;29/09/2015;7:41:50
3000043251;15/09/2015;7:42:23
3000043251;15/09/2015;7:42:23
3200005284;12/05/2015;7:42:25
3200010559;11/09/2015;7:42:26
3200010559;11/09/2015;7:42:26
3200011670;08/10/2015;7:42:33
3200000653;28/01/2015;7:42:36
3200003000;18/03/2015;7:42:52
3200003000;18/03/2015;7:42:52
3200006581;28/05/2014;7:42:54
3200006581;28/05/2014;7:42:54
3200006581;28/05/2014;7:42:54
3200006581;28/05/2014;7:42:54
3200015069;18/12/2015;7:42:54
3200015069;18/12/2015;7:42:54
3200013485;18/11/2015;7:42:59
3200013485;18/11/2015;7:42:59
3200013485;18/11/2015;7:42:59
3200013485;18/11/2015;7:42:59
3200013485;18/11/2015;7:42:59
3200013485;18/11/2015;7:42:59
3200015070;18/12/2015;7:43:00
3200005285;12/05/2015;7:43:26
3200006478;27/05/2014;7:43:44
3200006478;27/05/2014;7:43:44
3200006478;27/05/2014;7:43:44
3200006478;27/05/2014;7:43:44
3200006478;27/05/2014;7:43:44
3200015190;23/12/2015;7:43:57
3200013712;24/11/2015;7:44:09
3000041994;08/09/2015;7:44:15
3200012946;09/11/2015;7:44:18
3200003001;18/03/2015;7:44:22
3200003001;18/03/2015;7:44:22
3200005286;12/05/2015;7:44:28
3200006582;28/05/2014;7:44:39
3200006582;28/05/2014;7:44:39
3200006479;27/05/2014;7:44:47
3200015071;18/12/2015;7:44:49
3200014815;15/12/2015;7:44:49
3200014815;15/12/2015;7:44:49
3200014815;15/12/2015;7:44:49
3200012106;19/10/2015;7:45:05
3200012106;19/10/2015;7:45:05
3200012106;19/10/2015;7:45:05
3200012106;19/10/2015;7:45:05
3200012106;19/10/2015;7:45:05
3200012106;19/10/2015;7:45:05
3200015072;18/12/2015;7:45:17
3000041995;08/09/2015;7:45:22
3200005287;12/05/2015;7:45:32
3200002075;27/02/2015;7:45:36
3200013486;18/11/2015;7:45:42
3200013486;18/11/2015;7:45:42
3200013486;18/11/2015;7:45:42
3200003002;18/03/2015;7:46:02
3200003002;18/03/2015;7:46:02
3200003002;18/03/2015;7:46:02
3200000217;14/01/2014;7:46:02
3200006995;19/06/2015;7:46:06
3200010560;11/09/2015;7:46:11
3200006480;27/05/2014;7:46:13
3200010561;11/09/2015;7:46:19
3200010561;11/09/2015;7:46:19
3200006583;28/05/2014;7:46:21
3200006583;28/05/2014;7:46:21
3000041996;08/09/2015;7:46:27
3000005682;18/02/2015;7:46:45
3200011185;25/09/2015;7:46:45
3200011185;25/09/2015;7:46:45
3200013945;27/11/2015;7:46:46
3200010562;11/09/2015;7:46:47
3200011614;07/10/2015;7:46:49
3200008575;27/07/2015;7:46:53
3200008575;27/07/2015;7:46:53
3200005288;12/05/2015;7:47:12
3200006585;28/05/2014;7:47:19
3200006585;28/05/2014;7:47:19
3000041997;08/09/2015;7:47:22
3200003004;18/03/2015;7:47:29
3200003004;18/03/2015;7:47:29
3200003004;18/03/2015;7:47:29
3200003310;24/03/2015;7:47:42
3200003310;24/03/2015;7:47:42
3200003310;24/03/2015;7:47:42
3200003310;24/03/2015;7:47:42
3000005110;10/02/2015;7:47:52
3200012263;22/10/2015;7:47:52
3200013487;18/11/2015;7:47:52
3200013487;18/11/2015;7:47:52
3200013487;18/11/2015;7:47:52
3200015539;15/12/2014;7:47:57
3200015539;15/12/2014;7:47:57
3200013665;23/11/2015;7:48:03
3200014816;15/12/2015;7:48:14
3200014816;15/12/2015;7:48:14
3200014816;15/12/2015;7:48:14
3200014816;15/12/2015;7:48:14
3200000204;13/01/2014;7:48:14
3200009904;27/08/2015;7:48:17
3200009904;27/08/2015;7:48:17
3200003311;24/03/2015;7:48:21
3200003311;24/03/2015;7:48:21
3000015007;10/04/2015;7:48:22
3000041998;08/09/2015;7:48:24
3200008576;27/07/2015;7:48:25
3200008576;27/07/2015;7:48:25
3200006481;27/05/2014;7:48:38
3200006481;27/05/2014;7:48:38
3200006481;27/05/2014;7:48:38
3200006481;27/05/2014;7:48:38
3200006481;27/05/2014;7:48:38
3200003006;18/03/2015;7:48:55
3200003006;18/03/2015;7:48:55
3200003006;18/03/2015;7:48:55
3200000729;30/01/2014;7:49:09
3200015212;28/12/2015;7:49:11
3200000218;14/01/2014;7:49:18
3200006586;28/05/2014;7:49:20
3200006586;28/05/2014;7:49:20
3200006586;28/05/2014;7:49:20
3200015648;17/12/2014;7:49:41
3200002500;10/03/2015;7:49:49
3200008577;27/07/2015;7:49:49
3200008577;27/07/2015;7:49:49
3200008577;27/07/2015;7:49:49
3200000245;15/01/2014;7:49:52
3000018967;15/04/2014;7:49:54
3200013318;13/11/2015;7:50:05
3200003007;18/03/2015;7:50:08
3200003007;18/03/2015;7:50:08
3200003007;18/03/2015;7:50:08
3200006482;27/05/2014;7:50:10
3200006482;27/05/2014;7:50:10
3200006482;27/05/2014;7:50:10
3200006482;27/05/2014;7:50:10
3200006482;27/05/2014;7:50:10
3000015008;10/04/2015;7:50:17
3200006587;28/05/2014;7:50:20
3200006587;28/05/2014;7:50:20
3200011615;07/10/2015;7:50:24
3200013488;18/11/2015;7:50:40
3200013488;18/11/2015;7:50:40
3200013488;18/11/2015;7:50:40
3200013488;18/11/2015;7:50:40
3200013488;18/11/2015;7:50:40
3200013488;18/11/2015;7:50:40
3200008578;27/07/2015;7:50:46
3200008578;27/07/2015;7:50:46
3000041999;08/09/2015;7:50:49
3200005289;12/05/2015;7:50:50
3200005289;12/05/2015;7:50:50
3200009905;27/08/2015;7:50:59
3200012947;09/11/2015;7:51:09
3200015540;15/12/2014;7:51:13
3200015540;15/12/2014;7:51:13
3200000687;29/01/2014;7:51:14
3200000687;29/01/2014;7:51:14
3200000687;29/01/2014;7:51:14
3200014817;15/12/2015;7:51:21
3200014817;15/12/2015;7:51:21
3200014817;15/12/2015;7:51:21
3200014817;15/12/2015;7:51:21
3200014293;07/12/2015;7:51:23
3200006483;27/05/2014;7:51:29
3200006483;27/05/2014;7:51:29
3200006483;27/05/2014;7:51:29
3200006588;28/05/2014;7:51:32
3200006588;28/05/2014;7:51:32
3200003008;18/03/2015;7:51:38
3200003008;18/03/2015;7:51:38
3200003008;18/03/2015;7:51:38
3200005290;12/05/2015;7:51:48
3200002501;10/03/2015;7:51:51
3200002501;10/03/2015;7:51:51
3200002501;10/03/2015;7:51:51
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200014747;14/12/2015;7:51:59
3200000132;09/01/2014;7:52:04
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3000057446;06/11/2014;7:52:07
3200012537;27/10/2015;7:52:10
3200010367;08/09/2015;7:52:18
3200008580;27/07/2015;7:52:22
3200000246;15/01/2014;7:52:37
3200006590;28/05/2014;7:52:40
3200006590;28/05/2014;7:52:40
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200000572;24/01/2014;7:52:41
3200003009;18/03/2015;7:52:42
3200003009;18/03/2015;7:52:42
3200003009;18/03/2015;7:52:42
3200013489;18/11/2015;7:52:43
3200013489;18/11/2015;7:52:43
3200013489;18/11/2015;7:52:43
3200002503;10/03/2015;7:52:44
3200005291;12/05/2015;7:52:48
3200000169;10/01/2014;7:52:55
3200000219;14/01/2014;7:52:58
3200011359;29/09/2015;7:53:16
3200003962;09/04/2015;7:53:34
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3000006874;26/02/2015;7:53:48
3200002504;10/03/2015;7:53:51
3200002504;10/03/2015;7:53:51
3200002504;10/03/2015;7:53:51
3200008581;27/07/2015;7:53:53
3200005292;12/05/2015;7:53:55
3200005808;22/05/2014;7:53:57
3200000688;29/01/2014;7:53:58
3200003010;18/03/2015;7:54:10
3200003010;18/03/2015;7:54:10
3200003010;18/03/2015;7:54:10
3200003010;18/03/2015;7:54:10
3200003010;18/03/2015;7:54:10
3200010566;11/09/2015;7:54:11
3200010566;11/09/2015;7:54:11
3200006592;28/05/2014;7:54:16
3200006592;28/05/2014;7:54:16
3200014819;15/12/2015;7:54:25
3200014819;15/12/2015;7:54:25
3200014819;15/12/2015;7:54:25
3200006720;29/05/2014;7:54:42
3200006720;29/05/2014;7:54:42
3200006720;29/05/2014;7:54:42
3200002506;10/03/2015;7:54:47
3200014509;09/12/2015;7:54:51
3200013054;11/11/2015;7:54:54
3200013490;18/11/2015;7:54:56
3200013490;18/11/2015;7:54:56
3200013490;18/11/2015;7:54:56
3200005293;12/05/2015;7:54:59
3200015649;17/12/2014;7:54:59
3200015649;17/12/2014;7:54:59
3200015649;17/12/2014;7:54:59
3200006484;27/05/2014;7:54:59
3200006484;27/05/2014;7:54:59
3200006484;27/05/2014;7:54:59
3200006161;02/06/2015;7:55:10
3200006161;02/06/2015;7:55:10
3200012868;06/11/2015;7:55:11
3200008582;27/07/2015;7:55:11
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200000050;08/01/2015;7:55:19
3200003011;18/03/2015;7:55:21
3200003011;18/03/2015;7:55:21
3200003011;18/03/2015;7:55:21
3200003011;18/03/2015;7:55:21
3200006593;28/05/2014;7:55:31
3200002507;10/03/2015;7:55:51
3200000105;08/01/2014;7:55:54
3200000105;08/01/2014;7:55:54
3200005809;22/05/2014;7:55:56
3200015163;22/12/2015;7:55:57
3200000689;29/01/2014;7:56:08
3200000689;29/01/2014;7:56:08
3200000689;29/01/2014;7:56:08
3200000689;29/01/2014;7:56:08
3200000689;29/01/2014;7:56:08
3200000689;29/01/2014;7:56:08
3000042000;08/09/2015;7:56:10
3200005294;12/05/2015;7:56:12
3200008583;27/07/2015;7:56:14
3200008583;27/07/2015;7:56:14
3200014295;07/12/2015;7:56:16
3200014295;07/12/2015;7:56:16
3200013667;23/11/2015;7:56:25
3200011360;29/09/2015;7:56:28
3200003012;18/03/2015;7:56:30
3200003012;18/03/2015;7:56:30
3200003012;18/03/2015;7:56:30
3200015767;18/12/2014;7:56:49
3200006594;28/05/2014;7:56:51
3200006594;28/05/2014;7:56:51
3200006594;28/05/2014;7:56:51
3200006594;28/05/2014;7:56:51
3200006594;28/05/2014;7:56:51
3200006594;28/05/2014;7:56:51
3200014820;15/12/2015;7:56:53
3200014820;15/12/2015;7:56:53
3200014820;15/12/2015;7:56:53
3200009906;27/08/2015;7:56:57
3200009906;27/08/2015;7:56:57
3200002508;10/03/2015;7:57:00
3200005295;12/05/2015;7:57:00
3200005810;22/05/2014;7:57:00
3200002508;10/03/2015;7:57:00
3200002508;10/03/2015;7:57:00
3200000377;20/01/2014;7:57:15
3200008584;27/07/2015;7:57:21
3200008584;27/07/2015;7:57:21
3200010368;08/09/2015;7:57:22
3200010568;11/09/2015;7:57:22
3200010568;11/09/2015;7:57:22
3200014155;03/12/2015;7:57:27
3200007250;25/06/2015;7:57:37
3200010569;11/09/2015;7:57:43
3200003013;18/03/2015;7:57:45
3200006595;28/05/2014;7:57:45
3200003013;18/03/2015;7:57:45
3200003013;18/03/2015;7:57:45
3200006595;28/05/2014;7:57:45
3200015238;29/12/2015;7:57:49
3200013491;18/11/2015;7:57:55
3200010369;08/09/2015;7:58:03
3200000220;14/01/2014;7:58:03
3200013176;12/11/2015;7:58:06
3200013176;12/11/2015;7:58:06
3200013176;12/11/2015;7:58:06
3200013176;12/11/2015;7:58:06
3200013176;12/11/2015;7:58:06
3200005811;22/05/2014;7:58:07
3200005296;12/05/2015;7:58:11
3200002510;10/03/2015;7:58:11
3200000730;30/01/2014;7:58:14
3200010895;21/09/2015;7:58:16
3200010895;21/09/2015;7:58:16
3000010622;17/03/2015;7:58:19
3000010622;17/03/2015;7:58:19
3000010622;17/03/2015;7:58:19
3000010622;17/03/2015;7:58:19
3000010622;17/03/2015;7:58:19
3200008586;27/07/2015;7:58:25
3200008586;27/07/2015;7:58:25
3200010370;08/09/2015;7:58:37
3200014822;15/12/2015;7:58:50
3200003014;18/03/2015;7:58:50
3200014822;15/12/2015;7:58:50
3200014822;15/12/2015;7:58:50
3200014296;07/12/2015;7:58:55
3200014296;07/12/2015;7:58:55
3200014296;07/12/2015;7:58:55
3200006485;27/05/2014;7:59:04
3200006485;27/05/2014;7:59:04
3200006597;28/05/2014;7:59:05
3200006597;28/05/2014;7:59:05
3200007881;10/07/2015;7:59:16
3200007881;10/07/2015;7:59:16
3200007881;10/07/2015;7:59:16
3200002512;10/03/2015;7:59:17
3200002512;10/03/2015;7:59:17
3200002512;10/03/2015;7:59:17
3200002512;10/03/2015;7:59:17
3200000273;16/01/2014;7:59:17
3200005812;22/05/2014;7:59:21
3200003313;24/03/2015;7:59:26
3200003313;24/03/2015;7:59:26
3200008587;27/07/2015;7:59:32
3200000690;29/01/2014;7:59:34
3200000690;29/01/2014;7:59:34
3200000690;29/01/2014;7:59:34
3200015596;16/12/2014;7:59:36
3200015596;16/12/2014;7:59:36
3200015596;16/12/2014;7:59:36
3200015596;16/12/2014;7:59:36
3200015596;16/12/2014;7:59:36
3200015596;16/12/2014;7:59:36
3200010571;11/09/2015;7:59:46
3200010571;11/09/2015;7:59:46
3200010571;11/09/2015;7:59:46
3200000659;28/01/2014;8:00:02
3200006486;27/05/2014;8:00:04
3200006486;27/05/2014;8:00:04
3200006486;27/05/2014;8:00:04
3200009859;26/08/2015;8:00:06
3000017554;28/04/2015;8:00:08
3200002513;10/03/2015;8:00:11
3200003015;18/03/2015;8:00:15
3200005813;22/05/2014;8:00:23
3200006598;28/05/2014;8:00:23
3200006598;28/05/2014;8:00:23
3200006598;28/05/2014;8:00:23
3200006598;28/05/2014;8:00:23
3200008588;27/07/2015;8:00:30
3200008588;27/07/2015;8:00:30
3200010451;09/09/2015;8:00:34
3200002878;17/03/2015;8:01:03
3200007882;10/07/2015;8:01:17
3200007882;10/07/2015;8:01:17
3200003016;18/03/2015;8:01:18
3200006599;28/05/2014;8:01:28
3200006599;28/05/2014;8:01:28
3200006599;28/05/2014;8:01:28
3200005814;22/05/2014;8:01:37
3200008589;27/07/2015;8:01:40
3200008589;27/07/2015;8:01:40
3200008589;27/07/2015;8:01:40
3200008589;27/07/2015;8:01:40
3200002515;10/03/2015;8:01:42
3200002515;10/03/2015;8:01:42
3200014298;07/12/2015;8:01:42
3200014298;07/12/2015;8:01:42
3200014298;07/12/2015;8:01:42
3200014298;07/12/2015;8:01:42
3200014298;07/12/2015;8:01:42
3200004429;20/04/2015;8:01:48
3200011021;23/09/2015;8:01:56
3200011675;08/10/2015;8:02:03
3200013177;12/11/2015;8:02:06
3200013177;12/11/2015;8:02:06
3200013177;12/11/2015;8:02:06
3200013177;12/11/2015;8:02:06
3200013177;12/11/2015;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200000691;29/01/2014;8:02:06
3200015650;17/12/2014;8:02:12
3200000133;09/01/2014;8:02:15
3200000573;24/01/2014;8:02:22
3200011617;07/10/2015;8:02:25
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200000205;13/01/2014;8:02:29
3200007883;10/07/2015;8:02:31
3200007883;10/07/2015;8:02:31
3200007883;10/07/2015;8:02:31
3200007883;10/07/2015;8:02:31
3200007883;10/07/2015;8:02:31
3200008741;29/07/2015;8:02:33
3000054553;24/11/2015;8:02:40
3000054553;24/11/2015;8:02:40
3200005815;22/05/2014;8:02:41
3000023499;02/06/2015;8:02:41
3200000106;08/01/2014;8:02:48
3200000660;28/01/2014;8:02:51
3200000660;28/01/2014;8:02:51
3200002401;09/03/2015;8:02:55
3200013811;25/11/2015;8:02:59
3200002516;10/03/2015;8:03:00
3200006600;28/05/2014;8:03:03
3200006600;28/05/2014;8:03:03
3200013493;18/11/2015;8:03:06
3200013493;18/11/2015;8:03:06
3200013493;18/11/2015;8:03:06
3200000221;14/01/2014;8:03:09
3200000221;14/01/2014;8:03:09
3200000221;14/01/2014;8:03:09
3200000731;30/01/2014;8:03:19
3200008590;27/07/2015;8:03:33
3200008590;27/07/2015;8:03:33
3200003314;24/03/2015;8:03:35
3200003314;24/03/2015;8:03:35
3200003314;24/03/2015;8:03:35
3200006723;29/05/2014;8:03:36
3200006723;29/05/2014;8:03:36
3200006723;29/05/2014;8:03:36
3200006723;29/05/2014;8:03:36
3200005816;22/05/2014;8:03:56
3000026286;23/05/2014;8:04:02
3000026286;23/05/2014;8:04:02
3000026286;23/05/2014;8:04:02
3000026286;23/05/2014;8:04:02
3200010572;11/09/2015;8:04:03
3200002879;17/03/2015;8:04:03
3200002517;10/03/2015;8:04:14
3200002517;10/03/2015;8:04:14
3200001592;19/02/2015;8:04:14
3200002517;10/03/2015;8:04:14
3200002517;10/03/2015;8:04:14
3200002517;10/03/2015;8:04:14
3200002517;10/03/2015;8:04:14
3000013496;21/03/2014;8:04:38
3200014825;15/12/2015;8:04:40
3200014825;15/12/2015;8:04:40
3200014825;15/12/2015;8:04:40
3200000613;27/01/2014;8:04:44
3200014299;07/12/2015;8:04:51
3200014299;07/12/2015;8:04:51
3200014299;07/12/2015;8:04:51
3200006601;28/05/2014;8:04:57
3200006601;28/05/2014;8:04:57
3200006601;28/05/2014;8:04:57
3200006487;27/05/2014;8:05:00
3200006487;27/05/2014;8:05:00
3200006487;27/05/2014;8:05:00
3200006487;27/05/2014;8:05:00
3200002402;09/03/2015;8:05:03
3200002402;09/03/2015;8:05:03
3200002402;09/03/2015;8:05:03
3200002402;09/03/2015;8:05:03
3200002402;09/03/2015;8:05:03
3200002402;09/03/2015;8:05:03
3200000170;10/01/2014;8:05:05
3200014826;15/12/2015;8:05:06
3200000574;24/01/2014;8:05:09
3200002518;10/03/2015;8:05:16
3200002518;10/03/2015;8:05:16
3200002518;10/03/2015;8:05:16
3200005817;22/05/2014;8:05:17
3200014596;09/12/2015;8:05:18
3200005300;12/05/2015;8:05:27
3200000692;29/01/2014;8:05:28
3200000274;16/01/2014;8:05:31
3200013178;12/11/2015;8:05:39
3200013178;12/11/2015;8:05:39
3200013178;12/11/2015;8:05:39
3200013178;12/11/2015;8:05:39
3200013178;12/11/2015;8:05:39
3200007884;10/07/2015;8:05:42
3200007884;10/07/2015;8:05:42
3200012463;26/10/2015;8:05:47
3200013495;18/11/2015;8:05:47
3200013495;18/11/2015;8:05:47
3200013495;18/11/2015;8:05:47
3200014505;19/11/2014;8:05:48
3200014204;04/12/2015;8:05:53
3200014510;09/12/2015;8:06:09
3200002519;10/03/2015;8:06:13
3200005818;22/05/2014;8:06:20
3200013947;27/11/2015;8:06:21
3200000442;21/01/2014;8:06:24
3200000442;21/01/2014;8:06:24
3200000442;21/01/2014;8:06:24
3200014928;16/12/2015;8:06:26
3200014928;16/12/2015;8:06:26
3200002880;17/03/2015;8:06:29
3200011249;28/09/2015;8:06:34
3200013713;24/11/2015;8:06:37
3200013713;24/11/2015;8:06:37
3200013713;24/11/2015;8:06:37
3200013713;24/11/2015;8:06:37
3200009579;20/08/2015;8:06:41
3200009579;20/08/2015;8:06:41
3200000206;13/01/2014;8:06:43
3200000661;28/01/2014;8:06:43
3200011770;13/10/2015;8:06:45
3200011770;13/10/2015;8:06:45
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200007885;10/07/2015;8:06:58
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200006725;29/05/2014;8:07:06
3200005122;06/05/2015;8:07:07
3000030808;08/07/2015;8:07:07
3200002403;09/03/2015;8:07:09
3200002403;09/03/2015;8:07:09
3200002403;09/03/2015;8:07:09
3200000614;27/01/2014;8:07:10
3200011771;13/10/2015;8:07:11
3000023500;02/06/2015;8:07:11
3200000107;08/01/2014;8:07:17
3200000107;08/01/2014;8:07:17
3200000107;08/01/2014;8:07:17
3200000107;08/01/2014;8:07:17
3200014034;30/11/2015;8:07:27
3200003315;24/03/2015;8:07:27
3200005820;22/05/2014;8:07:29
3200002520;10/03/2015;8:07:31
3200002520;10/03/2015;8:07:31
3200002520;10/03/2015;8:07:31
3000029742;06/06/2014;8:07:38
3200000777;30/01/2015;8:07:46
3200000777;30/01/2015;8:07:46
3200006602;28/05/2014;8:07:48
3200006602;28/05/2014;8:07:48
3200013813;25/11/2015;8:07:52
3000013497;21/03/2014;8:07:54
3000030809;08/07/2015;8:08:03
3200014827;15/12/2015;8:08:04
3200014827;15/12/2015;8:08:04
3200014827;15/12/2015;8:08:04
3200013496;18/11/2015;8:08:08
3200013496;18/11/2015;8:08:08
3200013496;18/11/2015;8:08:08
3200008034;14/07/2015;8:08:10
3200008034;14/07/2015;8:08:10
3200002881;17/03/2015;8:08:10
3200006726;29/05/2014;8:08:11
3200006726;29/05/2014;8:08:11
3200001593;19/02/2015;8:08:17
3200015768;18/12/2014;8:08:18
3000030743;07/07/2015;8:08:19
3200002404;09/03/2015;8:08:20
3200002404;09/03/2015;8:08:20
3200002404;09/03/2015;8:08:20
3200014300;07/12/2015;8:08:22
3200014300;07/12/2015;8:08:22
3200014300;07/12/2015;8:08:22
3200014300;07/12/2015;8:08:22
3200014300;07/12/2015;8:08:22
3200014300;07/12/2015;8:08:22
3200000443;21/01/2014;8:08:22
3200010574;11/09/2015;8:08:23
3200010574;11/09/2015;8:08:23
3200010574;11/09/2015;8:08:23
3200010574;11/09/2015;8:08:23
3200010574;11/09/2015;8:08:23
3200002521;10/03/2015;8:08:28
3200011250;28/09/2015;8:08:30
3200003316;24/03/2015;8:08:34
3200003316;24/03/2015;8:08:34
3200005821;22/05/2014;8:08:47
3200014749;14/12/2015;8:08:49
3200014749;14/12/2015;8:08:49
3200014749;14/12/2015;8:08:49
3200010289;07/09/2015;8:08:52
3200015239;29/12/2015;8:08:59
